year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,city,precipitation_amt_mm_log,station_precip_mm_log,reanalysis_precip_amt_kg_per_m2_log,reanalysis_sat_precip_amt_mm_log,reanalysis_tdtr_k_clipped,precipitation_amt_mm_lag_1,station_avg_temp_c_lag_1,reanalysis_air_temp_k_lag_1,precipitation_amt_mm_lag_2,station_avg_temp_c_lag_2,reanalysis_air_temp_k_lag_2,precipitation_amt_mm_lag_3,station_avg_temp_c_lag_3,reanalysis_air_temp_k_lag_3,precipitation_amt_mm_lag_4,station_avg_temp_c_lag_4,reanalysis_air_temp_k_lag_4,precipitation_amt_mm_lag_mean_4,station_avg_temp_c_lag_mean_4,reanalysis_air_temp_k_lag_mean_4,total_cases
2000,26,730302,0.1928857,0.1322571,0.3408857,0.2472,25.41,296.74,298.45,295.1842857,307.3,293.1,43.19,92.41857143,25.41,16.65142857,8.928571429,26.4,10.775,32.5,20.7,3,0,3.273742726,1.386294361,3.788498519,3.273742726,8.928571429,,,,,,,,,,,,,,,,0
2000,27,730309,0.2168333,0.2761,0.2894571,0.2416571,60.61,296.6342857,298.4285714,295.3585714,306.6,291.1,46,93.58142857,60.61,16.86285714,10.31428571,26.9,11.56666667,34,20.8,55.6,0,4.120824195,4.036008985,3.850147602,4.120824195,10.31428571,25.41,26.4,296.74,,,,,,,,,,25.41,26.4,296.74,0
2000,28,730316,0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.4157143,297.3928571,295.6228571,304.5,292.6,64.77,95.84857143,55.52,17.12,7.385714286,26.8,11.46666667,33,20.7,38.1,0,4.034594558,3.666122467,4.186163807,4.034594558,7.385714286,60.61,26.9,296.6342857,25.41,26.4,296.74,,,,,,,43.01,26.65,296.6871429,0
2000,29,730323,0.2277286,0.1454286,0.2542,0.2003143,5.6,295.3571429,296.2285714,292.7971429,303.6,288.6,23.96,87.23428571,5.6,14.43142857,9.114285714,25.76666667,10.53333333,31.5,14.7,30,0,1.887069649,3.433987204,3.217274544,1.887069649,9.114285714,55.52,26.8,296.4157143,60.61,26.9,296.6342857,25.41,26.4,296.74,,,,47.18,26.7,296.5966667,0
2000,30,730330,0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.4328571,297.6357143,293.9571429,307,291.5,31.8,88.16142857,62.76,15.44428571,9.5,26.6,11.48,33.3,19.1,4,0,4.155126034,1.609437912,3.490428515,4.155126034,9.5,5.6,25.76666667,295.3571429,55.52,26.8,296.4157143,60.61,26.9,296.6342857,25.41,26.4,296.74,36.785,26.46666667,296.2867857,0
2000,31,730337,0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.1914286,298.2857143,291.7257143,306.2,288.5,1,74.72857143,16.24,13.42142857,13.77142857,25.34,10.94,32,17,11.5,0,2.847232265,2.525728644,0.693147181,2.847232265,13.77142857,62.76,26.6,296.4328571,5.6,25.76666667,295.3571429,55.52,26.8,296.4157143,60.61,26.9,296.6342857,46.1225,26.51666667,296.21,0
2000,32,730344,0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,298.9785714,293.8214286,308.8,292.1,26.68,83.27571429,89.37,15.31142857,11.47142857,27.01666667,11.65,34,19.9,72.9,0,4.503912354,4.302712828,3.320710131,4.503912354,11.47142857,16.24,25.34,297.1914286,62.76,26.6,296.4328571,5.6,25.76666667,295.3571429,55.52,26.8,296.4157143,35.03,26.12666667,296.3492857,0
2000,33,730351,0.3841333,0.39224,0.34178,0.38275,42.08,297.6271429,299.3357143,293.9928571,307.9,290.6,16.9,82.49,42.08,15.46571429,13.7,26.58333333,10.31666667,33,20.5,50.1,0,3.763058852,3.933784497,2.884800713,3.763058852,13.7,89.37,27.01666667,297.32,16.24,25.34,297.1914286,62.76,26.6,296.4328571,5.6,25.76666667,295.3571429,43.4925,26.18083333,296.5753571,0
2000,34,730358,0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.2385714,299.5714286,292.9042857,310.1,291.3,5.59,74.74,49.22,14.44428571,13.77142857,26.9,13.4,34,19,89.2,0,3.916413354,4.502029427,1.885553349,3.916413354,13.77142857,42.08,26.58333333,297.6271429,89.37,27.01666667,297.32,16.24,25.34,297.1914286,62.76,26.6,296.4328571,52.6125,26.385,297.1428571,0
2000,35,730365,0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.2185714,300.9285714,293.4728571,310.5,292.9,16.07,74.15142857,53.65,15.05714286,12.45714286,27.11666667,12.26666667,34,20,78,0,4.000949215,4.369447852,2.837322537,4.000949215,12.45714286,49.22,26.9,298.2385714,42.08,26.58333333,297.6271429,89.37,27.01666667,297.32,16.24,25.34,297.1914286,49.2275,26.46,297.5942857,0
