NDVI_combined,NDVI_combined_lag_1,NDVI_combined_lag_2,NDVI_combined_lag_3,city,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_1,reanalysis_air_temp_k_lag_2,reanalysis_air_temp_k_lag_3,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag_1,reanalysis_min_air_temp_k_lag_2,reanalysis_min_air_temp_k_lag_3,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_lag_1,reanalysis_specific_humidity_g_per_kg_lag_2,reanalysis_specific_humidity_g_per_kg_lag_3,reanalysis_tdtr_k,reanalysis_tdtr_k_lag_1,reanalysis_tdtr_k_lag_2,reanalysis_tdtr_k_lag_3,station_precip_mm,station_precip_mm_lag_1,station_precip_mm_lag_2,station_precip_mm_lag_3,weekofyear,total_cases
0.1806018444099871,0.237278784109497,0.2058404602939713,0.1290009338750714,1,299.63,299.518571429,298.987142857,298.781428571,298.1,297.5,297.0,297.3,17.2128571429,17.21,16.6728571429,16.8485714286,2.1,3.01428571429,2.42857142857,2.3,39.1,5.8,4.0,41.4,23,2
0.1525362122557324,0.1806018444099871,0.237278784109497,0.2058404602939713,1,299.207142857,299.63,299.518571429,298.987142857,297.7,298.1,297.5,297.0,17.2342857143,17.2128571429,17.21,16.6728571429,2.04285714286,2.1,3.01428571429,2.42857142857,29.7,39.1,5.8,4.0,24,4
0.1048775623014688,0.1525362122557324,0.1806018444099871,0.237278784109497,1,299.591428571,299.207142857,299.63,299.518571429,298.4,297.7,298.1,297.5,17.9771428571,17.2342857143,17.2128571429,17.21,1.57142857143,2.04285714286,2.1,3.01428571429,21.1,29.7,39.1,5.8,25,5
0.1235635701673474,0.1048775623014688,0.1525362122557324,0.1806018444099871,1,299.578571429,299.591428571,299.207142857,299.63,297.7,298.4,297.7,298.1,17.79,17.9771428571,17.2342857143,17.2128571429,1.88571428571,1.57142857143,2.04285714286,2.1,21.1,21.1,29.7,39.1,26,10
0.1526326339032856,0.1235635701673474,0.1048775623014688,0.1525362122557324,1,300.154285714,299.578571429,299.591428571,299.207142857,298.7,297.7,298.4,297.7,18.0714285714,17.79,17.9771428571,17.2342857143,2.01428571429,1.88571428571,1.57142857143,2.04285714286,1.1,21.1,21.1,29.7,27,6
0.1553146836662846,0.1526326339032856,0.1235635701673474,0.1048775623014688,1,299.512857143,300.154285714,299.578571429,299.591428571,298.0,298.7,297.7,298.4,17.4185714286,18.0714285714,17.79,17.9771428571,2.15714285714,2.01428571429,1.88571428571,1.57142857143,63.7,1.1,21.1,21.1,28,8
0.2712439347588778,0.1553146836662846,0.1526326339032856,0.1235635701673474,1,299.667142857,299.512857143,300.154285714,299.578571429,297.3,298.0,298.7,297.7,17.7371428571,17.4185714286,18.0714285714,17.79,2.41428571429,2.15714285714,2.01428571429,1.88571428571,12.2,63.7,1.1,21.1,29,2
0.1884585041340472,0.2712439347588778,0.1553146836662846,0.1526326339032856,1,299.558571429,299.667142857,299.512857143,300.154285714,297.1,297.3,298.0,298.7,17.3414285714,17.7371428571,17.4185714286,18.0714285714,2.07142857143,2.41428571429,2.15714285714,2.01428571429,32.6,12.2,63.7,1.1,30,6
0.2761193332173388,0.1884585041340472,0.2712439347588778,0.1553146836662846,1,299.862857143,299.558571429,299.667142857,299.512857143,298.3,297.1,297.3,298.0,17.5942857143,17.3414285714,17.7371428571,17.4185714286,2.58571428571,2.07142857143,2.41428571429,2.15714285714,37.6,32.6,12.2,63.7,31,17
0.1231618860229025,0.2761193332173388,0.1884585041340472,0.2712439347588778,1,300.391428571,299.862857143,299.558571429,299.667142857,298.8,298.3,297.1,297.3,17.95,17.5942857143,17.3414285714,17.7371428571,2.32857142857,2.58571428571,2.07142857143,2.41428571429,11.4,37.6,32.6,12.2,32,23
0.1554579733292109,0.1231618860229025,0.2761193332173388,0.1884585041340472,1,299.958571429,300.391428571,299.862857143,299.558571429,298.5,298.8,298.3,297.1,18.5157142857,17.95,17.5942857143,17.3414285714,1.85714285714,2.32857142857,2.58571428571,2.07142857143,44.7,11.4,37.6,32.6,33,13
